run,variant,batch_size,seed,abm,metric,step,value
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,2,218.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,3,255.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,4,279.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,5,298.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,6,317.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,7,336.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,8,353.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,9,372.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,10,392.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,11,413.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,12,433.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,13,454.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,14,477.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,15,499.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,16,529.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,17,555.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,18,586.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,19,619.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,20,651.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,21,699.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,22,739.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,23,794.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,24,862.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,25,939.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,26,1030.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,27,1146.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,28,1308.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,29,1475.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,30,1704.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,31,2018.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,32,2418.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,33,2973.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,34,3740.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,35,4096.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,36,4096.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,37,4096.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,38,4096.0
sgboba 1024 abm16,aboba,1024,seed1,16,adaptive_batch/batch_size,39,4096.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,2,218.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,3,256.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,4,280.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,5,300.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,6,318.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,7,337.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,8,355.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,9,373.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,10,393.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,11,412.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,12,432.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,13,452.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,14,477.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,15,500.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,16,528.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,17,551.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,18,587.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,19,615.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,20,656.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,21,697.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,22,744.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,23,799.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,24,864.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,25,944.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,26,1033.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,27,1156.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,28,1292.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,29,1491.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,30,1687.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,31,2025.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,32,2417.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,33,2961.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,34,3724.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,35,4096.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,36,4096.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,37,4096.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,38,4096.0
sgboba 1024 abm16,aboba,1024,seed2,16,adaptive_batch/batch_size,39,4096.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,2,218.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,3,256.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,4,280.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,5,300.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,6,318.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,7,336.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,8,354.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,9,374.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,10,393.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,11,414.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,12,434.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,13,453.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,14,478.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,15,505.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,16,529.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,17,555.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,18,588.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,19,622.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,20,649.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,21,694.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,22,741.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,23,803.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,24,862.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,25,944.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,26,1034.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,27,1161.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,28,1279.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,29,1475.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,30,1711.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,31,1981.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,32,2401.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,33,2971.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,34,3756.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,35,4096.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,36,4096.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,37,4096.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,38,4096.0
sgboba 1024 abm16,aboba,1024,seed3,16,adaptive_batch/batch_size,39,4096.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,2,27.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,3,29.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,4,35.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,5,38.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,6,44.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,7,56.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,8,63.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,9,69.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,10,73.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,11,76.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,12,79.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,13,82.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,14,85.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,15,88.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,16,92.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,17,96.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,18,101.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,19,106.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,20,112.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,21,119.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,22,127.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,23,136.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,24,147.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,25,160.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,26,175.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,27,192.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,28,215.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,29,241.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,30,275.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,31,314.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,32,368.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,33,434.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,34,526.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,35,654.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,36,825.0
sgboba 1024 abm2,aboba,1024,seed1,2,adaptive_batch/batch_size,37,1079.0
