run,variant,batch_size,seed,abm,metric,step,value
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,2,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,3,4.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,4,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,5,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,6,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,7,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,8,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,9,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,10,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,11,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,12,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,13,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,14,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,15,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,16,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,17,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,18,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,19,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,20,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,21,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,22,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,23,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,24,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,25,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,26,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,27,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,28,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,29,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,30,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,31,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,32,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,33,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,34,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,35,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,36,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,37,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,38,7.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,39,6.0
sgboba 128 abm2,aboba,128,seed1,2,adaptive_batch/batch_size,40,7.0
