run,variant,batch_size,seed,abm,metric,step,value
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,2,501.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,3,434.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,4,470.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,5,444.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,6,430.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,7,418.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,8,408.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,9,405.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,10,403.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,11,407.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,12,413.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,13,420.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,14,434.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,15,442.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,16,459.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,17,472.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,18,491.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,19,511.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,20,531.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,21,556.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,22,587.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,23,619.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,24,651.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,25,695.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,26,743.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,27,797.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,28,865.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,29,934.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,30,1030.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,31,1143.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,32,1271.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,33,1405.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,34,1591.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,35,1785.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,36,1997.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,37,2252.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,38,2469.0
sgboba 128 abm16,aboba,128,seed1,16,adaptive_batch/batch_size,39,2702.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,2,510.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,3,431.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,4,476.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,5,450.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,6,435.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,7,421.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,8,414.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,9,406.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,10,409.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,11,410.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,12,415.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,13,422.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,14,432.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,15,446.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,16,459.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,17,478.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,18,489.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,19,515.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,20,533.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,21,564.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,22,584.0
sgboba 128 abm16,aboba,128,seed2,16,adaptive_batch/batch_size,23,620.0
